#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
   745   0.217526E+04  -0.137923E+03   0.114354E-04  -0.137923E+03   0.297256E+02  -0.100809E-05   0.114354E-04  -0.100809E-05   0.105793E-07
   746   0.218417E+04  -0.138063E+03   0.114452E-04  -0.138063E+03   0.294512E+02  -0.100109E-05   0.114452E-04  -0.100109E-05   0.105575E-07
   747   0.219309E+04  -0.138165E+03   0.114542E-04  -0.138165E+03   0.291748E+02  -0.994002E-06   0.114542E-04  -0.994002E-06   0.105358E-07
   748   0.220200E+04  -0.138228E+03   0.114626E-04  -0.138228E+03   0.288965E+02  -0.986821E-06   0.114626E-04  -0.986821E-06   0.105142E-07
   749   0.221089E+04  -0.138254E+03   0.114703E-04  -0.138254E+03   0.286164E+02  -0.979550E-06   0.114703E-04  -0.979550E-06   0.104926E-07
   750   0.221977E+04  -0.138241E+03   0.114773E-04  -0.138241E+03   0.283346E+02  -0.972189E-06   0.114773E-04  -0.972189E-06   0.104712E-07
   751   0.222863E+04  -0.138190E+03   0.114836E-04  -0.138190E+03   0.280513E+02  -0.964741E-06   0.114836E-04  -0.964741E-06   0.104497E-07
   752   0.223745E+04  -0.138101E+03   0.114892E-04  -0.138101E+03   0.277666E+02  -0.957205E-06   0.114892E-04  -0.957205E-06   0.104284E-07
   753   0.224625E+04  -0.137974E+03   0.114942E-04  -0.137974E+03   0.274805E+02  -0.949585E-06   0.114942E-04  -0.949585E-06   0.104071E-07
   754   0.225501E+04  -0.137808E+03   0.114985E-04  -0.137808E+03   0.271932E+02  -0.941881E-06   0.114985E-04  -0.941881E-06   0.103859E-07
   755   0.226374E+04  -0.137605E+03   0.115021E-04  -0.137605E+03   0.269050E+02  -0.934096E-06   0.115021E-04  -0.934096E-06   0.103648E-07
   756   0.227242E+04  -0.137363E+03   0.115050E-04  -0.137363E+03   0.266159E+02  -0.926230E-06   0.115050E-04  -0.926230E-06   0.103437E-07
   757   0.228106E+04  -0.137084E+03   0.115072E-04  -0.137084E+03   0.263261E+02  -0.918286E-06   0.115072E-04  -0.918286E-06   0.103227E-07
   758   0.228966E+04  -0.136768E+03   0.115088E-04  -0.136768E+03   0.260357E+02  -0.910264E-06   0.115088E-04  -0.910264E-06   0.103018E-07
   759   0.229821E+04  -0.136415E+03   0.115098E-04  -0.136415E+03   0.257448E+02  -0.902168E-06   0.115098E-04  -0.902168E-06   0.102809E-07
   760   0.230671E+04  -0.136024E+03   0.115100E-04  -0.136024E+03   0.254537E+02  -0.893997E-06   0.115100E-04  -0.893997E-06   0.102601E-07
   761   0.231515E+04  -0.135595E+03   0.115096E-04  -0.135595E+03   0.251624E+02  -0.885755E-06   0.115096E-04  -0.885755E-06   0.102393E-07
   762   0.232353E+04  -0.135130E+03   0.115086E-04  -0.135130E+03   0.248711E+02  -0.877442E-06   0.115086E-04  -0.877442E-06   0.102187E-07
   763   0.233184E+04  -0.134628E+03   0.115069E-04  -0.134628E+03   0.245798E+02  -0.869060E-06   0.115069E-04  -0.869060E-06   0.101981E-07
   764   0.234008E+04  -0.134088E+03   0.115045E-04  -0.134088E+03   0.242887E+02  -0.860611E-06   0.115045E-04  -0.860611E-06   0.101775E-07
   765   0.234824E+04  -0.133512E+03   0.115016E-04  -0.133512E+03   0.239979E+02  -0.852096E-06   0.115016E-04  -0.852096E-06   0.101570E-07
   766   0.235632E+04  -0.132898E+03   0.114979E-04  -0.132898E+03   0.237076E+02  -0.843517E-06   0.114979E-04  -0.843517E-06   0.101366E-07
   767   0.236431E+04  -0.132247E+03   0.114937E-04  -0.132247E+03   0.234177E+02  -0.834876E-06   0.114937E-04  -0.834876E-06   0.101163E-07
   768   0.237221E+04  -0.131559E+03   0.114888E-04  -0.131559E+03   0.231286E+02  -0.826174E-06   0.114888E-04  -0.826174E-06   0.100960E-07
   769   0.238001E+04  -0.130834E+03   0.114832E-04  -0.130834E+03   0.228403E+02  -0.817412E-06   0.114832E-04  -0.817412E-06   0.100758E-07
   770   0.238771E+04  -0.130074E+03   0.114771E-04  -0.130074E+03   0.225531E+02  -0.808593E-06   0.114771E-04  -0.808593E-06   0.100556E-07
   771   0.239530E+04  -0.129279E+03   0.114703E-04  -0.129279E+03   0.222669E+02  -0.799719E-06   0.114703E-04  -0.799719E-06   0.100355E-07
   772   0.240278E+04  -0.128447E+03   0.114629E-04  -0.128447E+03   0.219821E+02  -0.790789E-06   0.114629E-04  -0.790789E-06   0.100155E-07
   773   0.241015E+04  -0.127581E+03   0.114548E-04  -0.127581E+03   0.216986E+02  -0.781808E-06   0.114548E-04  -0.781808E-06   0.999552E-08
   774   0.241740E+04  -0.126681E+03   0.114462E-04  -0.126681E+03   0.214168E+02  -0.772775E-06   0.114462E-04  -0.772775E-06   0.997561E-08
   775   0.242453E+04  -0.125746E+03   0.114369E-04  -0.125746E+03   0.211366E+02  -0.763692E-06   0.114369E-04  -0.763692E-06   0.995576E-08
   776   0.243153E+04  -0.124779E+03   0.114270E-04  -0.124779E+03   0.208583E+02  -0.754562E-06   0.114270E-04  -0.754562E-06   0.993598E-08
   777   0.243842E+04  -0.123778E+03   0.114165E-04  -0.123778E+03   0.205820E+02  -0.745385E-06   0.114165E-04  -0.745385E-06   0.991626E-08
   778   0.244518E+04  -0.122744E+03   0.114054E-04  -0.122744E+03   0.203077E+02  -0.736164E-06   0.114054E-04  -0.736164E-06   0.989660E-08
   779   0.245182E+04  -0.121678E+03   0.113937E-04  -0.121678E+03   0.200356E+02  -0.726900E-06   0.113937E-04  -0.726900E-06   0.987699E-08
   780   0.245833E+04  -0.120581E+03   0.113815E-04  -0.120581E+03   0.197658E+02  -0.717594E-06   0.113815E-04  -0.717594E-06   0.985745E-08
   781   0.246471E+04  -0.119453E+03   0.113686E-04  -0.119453E+03   0.194984E+02  -0.708249E-06   0.113686E-04  -0.708249E-06   0.983797E-08
   782   0.247095E+04  -0.118294E+03   0.113551E-04  -0.118294E+03   0.192336E+02  -0.698865E-06   0.113551E-04  -0.698865E-06   0.981855E-08
   783   0.247707E+04  -0.117104E+03   0.113410E-04  -0.117104E+03   0.189714E+02  -0.689445E-06   0.113410E-04  -0.689445E-06   0.979919E-08
   784   0.248303E+04  -0.115883E+03   0.113264E-04  -0.115883E+03   0.187119E+02  -0.679990E-06   0.113264E-04  -0.679990E-06   0.977989E-08
   785   0.248886E+04  -0.114632E+03   0.113111E-04  -0.114632E+03   0.184553E+02  -0.670501E-06   0.113111E-04  -0.670501E-06   0.976065E-08
   786   0.249452E+04  -0.113350E+03   0.112953E-04  -0.113350E+03   0.182017E+02  -0.660981E-06   0.112953E-04  -0.660981E-06   0.974146E-08
   787   0.250002E+04  -0.112039E+03   0.112789E-04  -0.112039E+03   0.179511E+02  -0.651430E-06   0.112789E-04  -0.651430E-06   0.972234E-08
   788   0.250536E+04  -0.110697E+03   0.112619E-04  -0.110697E+03   0.177037E+02  -0.641852E-06   0.112619E-04  -0.641852E-06   0.970327E-08
   789   0.251053E+04  -0.109327E+03   0.112444E-04  -0.109327E+03   0.174596E+02  -0.632246E-06   0.112444E-04  -0.632246E-06   0.968426E-08
   790   0.251554E+04  -0.107927E+03   0.112263E-04  -0.107927E+03   0.172189E+02  -0.622615E-06   0.112263E-04  -0.622615E-06   0.966531E-08
   791   0.252037E+04  -0.106501E+03   0.112076E-04  -0.106501E+03   0.169819E+02  -0.612960E-06   0.112076E-04  -0.612960E-06   0.964641E-08
   792   0.252503E+04  -0.105048E+03   0.111884E-04  -0.105048E+03   0.167487E+02  -0.603284E-06   0.111884E-04  -0.603284E-06   0.962758E-08
   793   0.252951E+04  -0.103570E+03   0.111686E-04  -0.103570E+03   0.165194E+02  -0.593587E-06   0.111686E-04  -0.593587E-06   0.960879E-08
   794   0.253382E+04  -0.102066E+03   0.111482E-04  -0.102066E+03   0.162941E+02  -0.583871E-06   0.111482E-04  -0.583871E-06   0.959007E-08
   795   0.253794E+04  -0.100540E+03   0.111273E-04  -0.100540E+03   0.160731E+02  -0.574138E-06   0.111273E-04  -0.574138E-06   0.957140E-08
   796   0.254189E+04  -0.989886E+02   0.111059E-04  -0.989886E+02   0.158563E+02  -0.564390E-06   0.111059E-04  -0.564390E-06   0.955279E-08
   797   0.254566E+04  -0.974151E+02   0.110839E-04  -0.974151E+02   0.156438E+02  -0.554627E-06   0.110839E-04  -0.554627E-06   0.953423E-08
   798   0.254924E+04  -0.958190E+02   0.110613E-04  -0.958190E+02   0.154357E+02  -0.544853E-06   0.110613E-04  -0.544853E-06   0.951573E-08
   799   0.255265E+04  -0.942009E+02   0.110382E-04  -0.942009E+02   0.152320E+02  -0.535067E-06   0.110382E-04  -0.535067E-06   0.949728E-08
   800   0.255587E+04  -0.925602E+02   0.110146E-04  -0.925602E+02   0.150328E+02  -0.525273E-06   0.110146E-04  -0.525273E-06   0.947889E-08
   801   0.255891E+04  -0.908991E+02   0.109905E-04  -0.908991E+02   0.148382E+02  -0.515470E-06   0.109905E-04  -0.515470E-06   0.946055E-08
   802   0.256176E+04  -0.892168E+02   0.109658E-04  -0.892168E+02   0.146482E+02  -0.505661E-06   0.109658E-04  -0.505661E-06   0.944226E-08
   803   0.256443E+04  -0.875140E+02   0.109406E-04  -0.875140E+02   0.144629E+02  -0.495846E-06   0.109406E-04  -0.495846E-06   0.942403E-08
   804   0.256691E+04  -0.857924E+02   0.109149E-04  -0.857924E+02   0.142824E+02  -0.486024E-06   0.109149E-04  -0.486024E-06   0.940586E-08
   805   0.256920E+04  -0.840510E+02   0.108886E-04  -0.840510E+02   0.141070E+02  -0.476197E-06   0.108886E-04  -0.476197E-06   0.938773E-08
   806   0.257127E+04  -0.822922E+02   0.108619E-04  -0.822922E+02   0.139366E+02  -0.466365E-06   0.108619E-04  -0.466365E-06   0.936966E-08
   807   0.257314E+04  -0.805144E+02   0.108347E-04  -0.805144E+02   0.137714E+02  -0.456529E-06   0.108347E-04  -0.456529E-06   0.935165E-08
   808   0.257480E+04  -0.787207E+02   0.108069E-04  -0.787207E+02   0.136115E+02  -0.446689E-06   0.108069E-04  -0.446689E-06   0.933368E-08
   809   0.257624E+04  -0.769103E+02   0.107787E-04  -0.769103E+02   0.134571E+02  -0.436845E-06   0.107787E-04  -0.436845E-06   0.931577E-08
   810   0.257747E+04  -0.750839E+02   0.107501E-04  -0.750839E+02   0.133081E+02  -0.426999E-06   0.107501E-04  -0.426999E-06   0.929791E-08
   811   0.257849E+04  -0.732432E+02   0.107209E-04  -0.732432E+02   0.131648E+02  -0.417150E-06   0.107209E-04  -0.417150E-06   0.928011E-08
   812   0.257930E+04  -0.713888E+02   0.106913E-04  -0.713888E+02   0.130269E+02  -0.407300E-06   0.106913E-04  -0.407300E-06   0.926235E-08
   813   0.257991E+04  -0.695217E+02   0.106613E-04  -0.695217E+02   0.128947E+02  -0.397448E-06   0.106613E-04  -0.397448E-06   0.924465E-08
   814   0.258031E+04  -0.676429E+02   0.106307E-04  -0.676429E+02   0.127681E+02  -0.387595E-06   0.106307E-04  -0.387595E-06   0.922700E-08
   815   0.258052E+04  -0.657531E+02   0.105998E-04  -0.657531E+02   0.126472E+02  -0.377742E-06   0.105998E-04  -0.377742E-06   0.920940E-08
   816   0.258054E+04  -0.638533E+02   0.105684E-04  -0.638533E+02   0.125320E+02  -0.367889E-06   0.105684E-04  -0.367889E-06   0.919185E-08
   817   0.258036E+04  -0.619441E+02   0.105365E-04  -0.619441E+02   0.124227E+02  -0.358037E-06   0.105365E-04  -0.358037E-06   0.917435E-08
   818   0.257998E+04  -0.600255E+02   0.105043E-04  -0.600255E+02   0.123192E+02  -0.348186E-06   0.105043E-04  -0.348186E-06   0.915690E-08
   819   0.257939E+04  -0.580982E+02   0.104716E-04  -0.580982E+02   0.122216E+02  -0.338337E-06   0.104716E-04  -0.338337E-06   0.913950E-08
   820   0.257858E+04  -0.561624E+02   0.104385E-04  -0.561624E+02   0.121301E+02  -0.328491E-06   0.104385E-04  -0.328491E-06   0.912216E-08
   821   0.257755E+04  -0.542187E+02   0.104050E-04  -0.542187E+02   0.120446E+02  -0.318646E-06   0.104050E-04  -0.318646E-06   0.910486E-08
   822   0.257629E+04  -0.522673E+02   0.103712E-04  -0.522673E+02   0.119652E+02  -0.308806E-06   0.103712E-04  -0.308806E-06   0.908761E-08
   823   0.257481E+04  -0.503087E+02   0.103369E-04  -0.503087E+02   0.118921E+02  -0.298969E-06   0.103369E-04  -0.298969E-06   0.907042E-08
   824   0.257310E+04  -0.483439E+02   0.103022E-04  -0.483439E+02   0.118251E+02  -0.289136E-06   0.103022E-04  -0.289136E-06   0.905327E-08
   825   0.257118E+04  -0.463742E+02   0.102672E-04  -0.463742E+02   0.117644E+02  -0.279308E-06   0.102672E-04  -0.279308E-06   0.903617E-08
   826   0.256904E+04  -0.444007E+02   0.102317E-04  -0.444007E+02   0.117101E+02  -0.269486E-06   0.102317E-04  -0.269486E-06   0.901912E-08
   827   0.256669E+04  -0.424247E+02   0.101959E-04  -0.424247E+02   0.116619E+02  -0.259669E-06   0.101959E-04  -0.259669E-06   0.900212E-08
   828   0.256413E+04  -0.404471E+02   0.101598E-04  -0.404471E+02   0.116201E+02  -0.249859E-06   0.101598E-04  -0.249859E-06   0.898517E-08
   829   0.256138E+04  -0.384693E+02   0.101233E-04  -0.384693E+02   0.115846E+02  -0.240056E-06   0.101233E-04  -0.240056E-06   0.896826E-08
   830   0.255843E+04  -0.364922E+02   0.100864E-04  -0.364922E+02   0.115555E+02  -0.230260E-06   0.100864E-04  -0.230260E-06   0.895141E-08
   831   0.255529E+04  -0.345163E+02   0.100492E-04  -0.345163E+02   0.115326E+02  -0.220472E-06   0.100492E-04  -0.220472E-06   0.893460E-08
   832   0.255195E+04  -0.325421E+02   0.100117E-04  -0.325421E+02   0.115162E+02  -0.210692E-06   0.100117E-04  -0.210692E-06   0.891784E-08
   833   0.254839E+04  -0.305698E+02   0.997387E-05  -0.305698E+02   0.115063E+02  -0.200921E-06   0.997387E-05  -0.200921E-06   0.890113E-08
   834   0.254464E+04  -0.285997E+02   0.993569E-05  -0.285997E+02   0.115028E+02  -0.191160E-06   0.993569E-05  -0.191160E-06   0.888446E-08
   835   0.254067E+04  -0.266324E+02   0.989720E-05  -0.266324E+02   0.115057E+02  -0.181409E-06   0.989720E-05  -0.181409E-06   0.886784E-08
   836   0.253647E+04  -0.246679E+02   0.985840E-05  -0.246679E+02   0.115152E+02  -0.171668E-06   0.985840E-05  -0.171668E-06   0.885127E-08
   837   0.253206E+04  -0.227071E+02   0.981930E-05  -0.227071E+02   0.115313E+02  -0.161938E-06   0.981930E-05  -0.161938E-06   0.883475E-08
   838   0.252744E+04  -0.207504E+02   0.977990E-05  -0.207504E+02   0.115539E+02  -0.152220E-06   0.977990E-05  -0.152220E-06   0.881827E-08
   839   0.252259E+04  -0.187992E+02   0.974021E-05  -0.187992E+02   0.115829E+02  -0.142513E-06   0.974021E-05  -0.142513E-06   0.880183E-08
   840   0.251755E+04  -0.168543E+02   0.970024E-05  -0.168543E+02   0.116184E+02  -0.132819E-06   0.970024E-05  -0.132819E-06   0.878545E-08
   841   0.251231E+04  -0.149168E+02   0.965999E-05  -0.149168E+02   0.116603E+02  -0.123138E-06   0.965999E-05  -0.123138E-06   0.876911E-08
   842   0.250687E+04  -0.129876E+02   0.961947E-05  -0.129876E+02   0.117086E+02  -0.113471E-06   0.961947E-05  -0.113471E-06   0.875281E-08
   843   0.250123E+04  -0.110677E+02   0.957869E-05  -0.110677E+02   0.117632E+02  -0.103818E-06   0.957869E-05  -0.103818E-06   0.873656E-08
   844   0.249543E+04  -0.915807E+01   0.953765E-05  -0.915807E+01   0.118240E+02  -0.941792E-07   0.953765E-05  -0.941792E-07   0.872036E-08
   845   0.248943E+04  -0.725930E+01   0.949636E-05  -0.725930E+01   0.118911E+02  -0.845555E-07   0.949636E-05  -0.845555E-07   0.870420E-08
   846   0.248324E+04  -0.537208E+01   0.945483E-05  -0.537208E+01   0.119646E+02  -0.749475E-07   0.945483E-05  -0.749475E-07   0.868809E-08
   847   0.247686E+04  -0.349687E+01   0.941306E-05  -0.349687E+01   0.120445E+02  -0.653556E-07   0.941306E-05  -0.653556E-07   0.867202E-08
   848   0.247030E+04  -0.163429E+01   0.937105E-05  -0.163429E+01   0.121306E+02  -0.557803E-07   0.937105E-05  -0.557803E-07   0.865599E-08
   849   0.246354E+04   0.215110E+00   0.932882E-05   0.215110E+00   0.122232E+02  -0.462221E-07   0.932882E-05  -0.462221E-07   0.864001E-08
   850   0.245657E+04   0.205074E+01   0.928637E-05   0.205074E+01   0.123221E+02  -0.366816E-07   0.928637E-05  -0.366816E-07   0.862407E-08
   851   0.244942E+04   0.387206E+01   0.924371E-05   0.387206E+01   0.124275E+02  -0.271593E-07   0.924371E-05  -0.271593E-07   0.860818E-08
   852   0.244207E+04   0.567854E+01   0.920084E-05   0.567854E+01   0.125392E+02  -0.176565E-07   0.920084E-05  -0.176565E-07   0.859233E-08
   853   0.243454E+04   0.746965E+01   0.915776E-05   0.746965E+01   0.126571E+02  -0.817433E-08   0.915776E-05  -0.817433E-08   0.857652E-08
   854   0.242681E+04   0.924489E+01   0.911448E-05   0.924489E+01   0.127811E+02   0.128581E-08   0.911448E-05   0.128581E-08   0.856076E-08
   855   0.241892E+04   0.110037E+02   0.907099E-05   0.110037E+02   0.129111E+02   0.107227E-07   0.907099E-05   0.107227E-07   0.854503E-08
   856   0.241085E+04   0.127457E+02   0.902731E-05   0.127457E+02   0.130470E+02   0.201350E-07   0.902731E-05   0.201350E-07   0.852936E-08
   857   0.240262E+04   0.144702E+02   0.898342E-05   0.144702E+02   0.131887E+02   0.295216E-07   0.898342E-05   0.295216E-07   0.851372E-08
   858   0.239423E+04   0.161768E+02   0.893934E-05   0.161768E+02   0.133361E+02   0.388810E-07   0.893934E-05   0.388810E-07   0.849813E-08
   859   0.238568E+04   0.178645E+02   0.889507E-05   0.178645E+02   0.134892E+02   0.482121E-07   0.889507E-05   0.482121E-07   0.848258E-08
   860   0.237697E+04   0.195325E+02   0.885060E-05   0.195325E+02   0.136481E+02   0.575135E-07   0.885060E-05   0.575135E-07   0.846707E-08
   861   0.236812E+04   0.211800E+02   0.880595E-05   0.211800E+02   0.138126E+02   0.667840E-07   0.880595E-05   0.667840E-07   0.845160E-08
   862   0.235910E+04   0.228061E+02   0.876111E-05   0.228061E+02   0.139826E+02   0.760224E-07   0.876111E-05   0.760224E-07   0.843618E-08
   863   0.234994E+04   0.244098E+02   0.871608E-05   0.244098E+02   0.141584E+02   0.852272E-07   0.871608E-05   0.852272E-07   0.842080E-08
   864   0.234063E+04   0.259904E+02   0.867087E-05   0.259904E+02   0.143397E+02   0.943973E-07   0.867087E-05   0.943973E-07   0.840546E-08
   865   0.233116E+04   0.275470E+02   0.862548E-05   0.275470E+02   0.145266E+02   0.103531E-06   0.862548E-05   0.103531E-06   0.839016E-08
   866   0.232156E+04   0.290793E+02   0.857992E-05   0.290793E+02   0.147190E+02   0.112628E-06   0.857992E-05   0.112628E-06   0.837490E-08
   867   0.231181E+04   0.305873E+02   0.853418E-05   0.305873E+02   0.149169E+02   0.121686E-06   0.853418E-05   0.121686E-06   0.835968E-08
   868   0.230192E+04   0.320706E+02   0.848827E-05   0.320706E+02   0.151200E+02   0.130705E-06   0.848827E-05   0.130705E-06   0.834451E-08
   869   0.229189E+04   0.335292E+02   0.844219E-05   0.335292E+02   0.153283E+02   0.139682E-06   0.844219E-05   0.139682E-06   0.832937E-08
   870   0.228171E+04   0.349628E+02   0.839594E-05   0.349628E+02   0.155418E+02   0.148617E-06   0.839594E-05   0.148617E-06   0.831428E-08
   871   0.227140E+04   0.363714E+02   0.834952E-05   0.363714E+02   0.157603E+02   0.157508E-06   0.834952E-05   0.157508E-06   0.829923E-08
   872   0.226096E+04   0.377546E+02   0.830294E-05   0.377546E+02   0.159837E+02   0.166354E-06   0.830294E-05   0.166354E-06   0.828422E-08
   873   0.225038E+04   0.391120E+02   0.825620E-05   0.391120E+02   0.162118E+02   0.175154E-06   0.825620E-05   0.175154E-06   0.826924E-08
   874   0.223968E+04   0.404429E+02   0.820930E-05   0.404429E+02   0.164447E+02   0.183906E-06   0.820930E-05   0.183906E-06   0.825431E-08
   875   0.222886E+04   0.417469E+02   0.816225E-05   0.417469E+02   0.166822E+02   0.192610E-06   0.816225E-05   0.192610E-06   0.823942E-08
   876   0.221792E+04   0.430234E+02   0.811504E-05   0.430234E+02   0.169242E+02   0.201263E-06   0.811504E-05   0.201263E-06   0.822457E-08
   877   0.220687E+04   0.442716E+02   0.806768E-05   0.442716E+02   0.171705E+02   0.209865E-06   0.806768E-05   0.209865E-06   0.820975E-08
   878   0.219572E+04   0.454912E+02   0.802017E-05   0.454912E+02   0.174210E+02   0.218415E-06   0.802017E-05   0.218415E-06   0.819498E-08
   879   0.218447E+04   0.466815E+02   0.797252E-05   0.466815E+02   0.176757E+02   0.226910E-06   0.797252E-05   0.226910E-06   0.818024E-08
   880   0.217313E+04   0.478421E+02   0.792471E-05   0.478421E+02   0.179344E+02   0.235351E-06   0.792471E-05   0.235351E-06   0.816555E-08
   881   0.216169E+04   0.489725E+02   0.787677E-05   0.489725E+02   0.181970E+02   0.243735E-06   0.787677E-05   0.243735E-06   0.815089E-08
   882   0.215016E+04   0.500721E+02   0.782869E-05   0.500721E+02   0.184636E+02   0.252061E-06   0.782869E-05   0.252061E-06   0.813628E-08
   883   0.213854E+04   0.511404E+02   0.778047E-05   0.511404E+02   0.187339E+02   0.260328E-06   0.778047E-05   0.260328E-06   0.812170E-08
   884   0.212683E+04   0.521769E+02   0.773211E-05   0.521769E+02   0.190079E+02   0.268535E-06   0.773211E-05   0.268535E-06   0.810716E-08
   885   0.211503E+04   0.531812E+02   0.768362E-05   0.531812E+02   0.192856E+02   0.276681E-06   0.768362E-05   0.276681E-06   0.809266E-08
   886   0.210315E+04   0.541529E+02   0.763500E-05   0.541529E+02   0.195668E+02   0.284763E-06   0.763500E-05   0.284763E-06   0.807820E-08
   887   0.209118E+04   0.550917E+02   0.758626E-05   0.550917E+02   0.198515E+02   0.292782E-06   0.758626E-05   0.292782E-06   0.806377E-08
   888   0.207915E+04   0.559975E+02   0.753738E-05   0.559975E+02   0.201396E+02   0.300735E-06   0.753738E-05   0.300735E-06   0.804938E-08
   889   0.206703E+04   0.568706E+02   0.748838E-05   0.568706E+02   0.204308E+02   0.308621E-06   0.748838E-05   0.308621E-06   0.803504E-08
   890   0.205484E+04   0.577105E+02   0.743927E-05   0.577105E+02   0.207250E+02   0.316440E-06   0.743927E-05   0.316440E-06   0.802072E-08
   891   0.204259E+04   0.585175E+02   0.739003E-05   0.585175E+02   0.210223E+02   0.324189E-06   0.739003E-05   0.324189E-06   0.800645E-08
   892   0.203027E+04   0.592913E+02   0.734067E-05   0.592913E+02   0.213224E+02   0.331868E-06   0.734067E-05   0.331868E-06   0.799221E-08
   893   0.201789E+04   0.600319E+02   0.729121E-05   0.600319E+02   0.216252E+02   0.339475E-06   0.729121E-05   0.339475E-06   0.797801E-08
   894   0.200546E+04   0.607392E+02   0.724163E-05   0.607392E+02   0.219305E+02   0.347009E-06   0.724163E-05   0.347009E-06   0.796385E-08
   895   0.199297E+04   0.614130E+02   0.719194E-05   0.614130E+02   0.222383E+02   0.354468E-06   0.719194E-05   0.354468E-06   0.794973E-08
   896   0.198044E+04   0.620532E+02   0.714214E-05   0.620532E+02   0.225484E+02   0.361852E-06   0.714214E-05   0.361852E-06   0.793564E-08
   897   0.196786E+04   0.626596E+02   0.709224E-05   0.626596E+02   0.228606E+02   0.369159E-06   0.709224E-05   0.369159E-06   0.792159E-08
   898   0.195523E+04   0.632321E+02   0.704223E-05   0.632321E+02   0.231748E+02   0.376388E-06   0.704223E-05   0.376388E-06   0.790757E-08
   899   0.194258E+04   0.637705E+02   0.699213E-05   0.637705E+02   0.234908E+02   0.383538E-06   0.699213E-05   0.383538E-06   0.789359E-08
   900   0.192989E+04   0.642747E+02   0.694192E-05   0.642747E+02   0.238086E+02   0.390607E-06   0.694192E-05   0.390607E-06   0.787965E-08
   901   0.191717E+04   0.647446E+02   0.689162E-05   0.647446E+02   0.241279E+02   0.397594E-06   0.689162E-05   0.397594E-06   0.786574E-08
   902   0.190443E+04   0.651800E+02   0.684124E-05   0.651800E+02   0.244486E+02   0.404499E-06   0.684124E-05   0.404499E-06   0.785187E-08
   903   0.189168E+04   0.655808E+02   0.679076E-05   0.655808E+02   0.247707E+02   0.411321E-06   0.679076E-05   0.411321E-06   0.783803E-08
   904   0.187890E+04   0.659470E+02   0.674021E-05   0.659470E+02   0.250940E+02   0.418062E-06   0.674021E-05   0.418062E-06   0.782423E-08
   905   0.186611E+04   0.662784E+02   0.668958E-05   0.662784E+02   0.254183E+02   0.424721E-06   0.668958E-05   0.424721E-06   0.781047E-08
   906   0.185332E+04   0.665748E+02   0.663888E-05   0.665748E+02   0.257437E+02   0.431298E-06   0.663888E-05   0.431298E-06   0.779674E-08
   907   0.184052E+04   0.668362E+02   0.658812E-05   0.668362E+02   0.260698E+02   0.437792E-06   0.658812E-05   0.437792E-06   0.778305E-08
   908   0.182773E+04   0.670626E+02   0.653729E-05   0.670626E+02   0.263966E+02   0.444205E-06   0.653729E-05   0.444205E-06   0.776939E-08
   909   0.181494E+04   0.672541E+02   0.648642E-05   0.672541E+02   0.267241E+02   0.450535E-06   0.648642E-05   0.450535E-06   0.775576E-08
   910   0.180215E+04   0.674107E+02   0.643549E-05   0.674107E+02   0.270520E+02   0.456783E-06   0.643549E-05   0.456783E-06   0.774218E-08
   911   0.178937E+04   0.675324E+02   0.638452E-05   0.675324E+02   0.273802E+02   0.462948E-06   0.638452E-05   0.462948E-06   0.772862E-08
   912   0.177662E+04   0.676194E+02   0.633351E-05   0.676194E+02   0.277086E+02   0.469032E-06   0.633351E-05   0.469032E-06   0.771510E-08
   913   0.176388E+04   0.676718E+02   0.628247E-05   0.676718E+02   0.280372E+02   0.475033E-06   0.628247E-05   0.475033E-06   0.770162E-08
   914   0.175116E+04   0.676894E+02   0.623140E-05   0.676894E+02   0.283657E+02   0.480952E-06   0.623140E-05   0.480952E-06   0.768817E-08
   915   0.173846E+04   0.676725E+02   0.618031E-05   0.676725E+02   0.286940E+02   0.486788E-06   0.618031E-05   0.486788E-06   0.767475E-08
   916   0.172580E+04   0.676212E+02   0.612920E-05   0.676212E+02   0.290221E+02   0.492542E-06   0.612920E-05   0.492542E-06   0.766137E-08
   917   0.171316E+04   0.675355E+02   0.607808E-05   0.675355E+02   0.293497E+02   0.498214E-06   0.607808E-05   0.498214E-06   0.764803E-08
   918   0.170055E+04   0.674157E+02   0.602695E-05   0.674157E+02   0.296768E+02   0.503803E-06   0.602695E-05   0.503803E-06   0.763471E-08
   919   0.168798E+04   0.672617E+02   0.597582E-05   0.672617E+02   0.300032E+02   0.509309E-06   0.597582E-05   0.509309E-06   0.762144E-08
   920   0.167546E+04   0.670738E+02   0.592469E-05   0.670738E+02   0.303287E+02   0.514734E-06   0.592469E-05   0.514734E-06   0.760819E-08
   921   0.166296E+04   0.668521E+02   0.587357E-05   0.668521E+02   0.306532E+02   0.520075E-06   0.587357E-05   0.520075E-06   0.759498E-08
   922   0.165052E+04   0.665969E+02   0.582246E-05   0.665969E+02   0.309766E+02   0.525334E-06   0.582246E-05   0.525334E-06   0.758180E-08
   923   0.163814E+04   0.663084E+02   0.577137E-05   0.663084E+02   0.312988E+02   0.530511E-06   0.577137E-05   0.530511E-06   0.756866E-08
   924   0.162579E+04   0.659871E+02   0.572030E-05   0.659871E+02   0.316196E+02   0.535605E-06   0.572030E-05   0.535605E-06   0.755555E-08
