#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    43   0.135231E+04   0.247834E+01   0.889159E-03   0.247834E+01   0.724126E-01  -0.214696E-06   0.889159E-03  -0.214696E-06   0.137022E-06
    44   0.136678E+04   0.241043E+01   0.870488E-03   0.241043E+01   0.780982E-01  -0.311555E-06   0.870488E-03  -0.311555E-06   0.136649E-06
    45   0.138149E+04   0.233110E+01   0.852376E-03   0.233110E+01   0.840755E-01  -0.381041E-06   0.852376E-03  -0.381041E-06   0.136249E-06
    46   0.139641E+04   0.224004E+01   0.834825E-03   0.224004E+01   0.903519E-01  -0.396145E-06   0.834825E-03  -0.396145E-06   0.135825E-06
    47   0.141153E+04   0.213664E+01   0.817816E-03   0.213664E+01   0.969276E-01  -0.374172E-06   0.817816E-03  -0.374172E-06   0.135378E-06
    48   0.142682E+04   0.202023E+01   0.801325E-03   0.202023E+01   0.103794E+00  -0.343506E-06   0.801325E-03  -0.343506E-06   0.134910E-06
    49   0.144228E+04   0.189022E+01   0.785327E-03   0.189022E+01   0.110943E+00  -0.332529E-06   0.785327E-03  -0.332529E-06   0.134423E-06
    50   0.145796E+04   0.174613E+01   0.769795E-03   0.174613E+01   0.118376E+00  -0.369626E-06   0.769795E-03  -0.369626E-06   0.133917E-06
    51   0.147392E+04   0.158783E+01   0.754713E-03   0.158783E+01   0.126096E+00  -0.472703E-06   0.754713E-03  -0.472703E-06   0.133395E-06
    52   0.149012E+04   0.141625E+01   0.740092E-03   0.141625E+01   0.134109E+00  -0.617758E-06   0.740092E-03  -0.617758E-06   0.132858E-06
    53   0.150649E+04   0.123239E+01   0.725952E-03   0.123239E+01   0.142416E+00  -0.770312E-06   0.725952E-03  -0.770312E-06   0.132306E-06
    54   0.152300E+04   0.103638E+01   0.712313E-03   0.103638E+01   0.151018E+00  -0.895886E-06   0.712313E-03  -0.895886E-06   0.131741E-06
    55   0.153966E+04   0.827978E+00   0.699193E-03   0.827978E+00   0.159921E+00  -0.960002E-06   0.699193E-03  -0.960002E-06   0.131164E-06
    56   0.155656E+04   0.606307E+00   0.686600E-03   0.606307E+00   0.169121E+00  -0.938689E-06   0.686600E-03  -0.938689E-06   0.130575E-06
    57   0.157383E+04   0.370462E+00   0.674491E-03   0.370462E+00   0.178614E+00  -0.850010E-06   0.674491E-03  -0.850010E-06   0.129976E-06
    58   0.159141E+04   0.120213E+00   0.662812E-03   0.120213E+00   0.188400E+00  -0.722538E-06   0.662812E-03  -0.722538E-06   0.129367E-06
    59   0.160922E+04  -0.144384E+00   0.651507E-03  -0.144384E+00   0.198478E+00  -0.584845E-06   0.651507E-03  -0.584845E-06   0.128747E-06
    60   0.162724E+04  -0.422854E+00   0.640520E-03  -0.422854E+00   0.208841E+00  -0.465502E-06   0.640520E-03  -0.465502E-06   0.128119E-06
    61   0.164549E+04  -0.714752E+00   0.629803E-03  -0.714752E+00   0.219480E+00  -0.387985E-06   0.629803E-03  -0.387985E-06   0.127483E-06
    62   0.166396E+04  -0.102010E+01   0.619325E-03  -0.102010E+01   0.230394E+00  -0.355382E-06   0.619325E-03  -0.355382E-06   0.126839E-06
    63   0.168268E+04  -0.133906E+01   0.609061E-03  -0.133906E+01   0.241578E+00  -0.365686E-06   0.609061E-03  -0.365686E-06   0.126188E-06
    64   0.170165E+04  -0.167178E+01   0.598985E-03  -0.167178E+01   0.253032E+00  -0.416888E-06   0.598985E-03  -0.416888E-06   0.125532E-06
    65   0.172090E+04  -0.201846E+01   0.589072E-03  -0.201846E+01   0.264754E+00  -0.506981E-06   0.589072E-03  -0.506981E-06   0.124871E-06
    66   0.174046E+04  -0.237934E+01   0.579309E-03  -0.237934E+01   0.276737E+00  -0.631048E-06   0.579309E-03  -0.631048E-06   0.124207E-06
    67   0.176031E+04  -0.275390E+01   0.569729E-03  -0.275390E+01   0.288975E+00  -0.772545E-06   0.569729E-03  -0.772545E-06   0.123540E-06
    68   0.178043E+04  -0.314144E+01   0.560376E-03  -0.314144E+01   0.301458E+00  -0.912018E-06   0.560376E-03  -0.912018E-06   0.122870E-06
    69   0.180077E+04  -0.354128E+01   0.551295E-03  -0.354128E+01   0.314177E+00  -0.103002E-05   0.551295E-03  -0.103002E-05   0.122198E-06
    70   0.182130E+04  -0.395295E+01   0.542529E-03  -0.395295E+01   0.327128E+00  -0.110708E-05   0.542529E-03  -0.110708E-05   0.121524E-06
    71   0.184201E+04  -0.437627E+01   0.534111E-03  -0.437627E+01   0.340306E+00  -0.112917E-05   0.534111E-03  -0.112917E-05   0.120849E-06
    72   0.186300E+04  -0.481216E+01   0.526021E-03  -0.481216E+01   0.353705E+00  -0.110388E-05   0.526021E-03  -0.110388E-05   0.120173E-06
    73   0.188439E+04  -0.526161E+01   0.518225E-03  -0.526161E+01   0.367323E+00  -0.104420E-05   0.518225E-03  -0.104420E-05   0.119496E-06
    74   0.190619E+04  -0.572453E+01   0.510691E-03  -0.572453E+01   0.381146E+00  -0.963126E-06   0.510691E-03  -0.963126E-06   0.118817E-06
    75   0.192839E+04  -0.620048E+01   0.503384E-03  -0.620048E+01   0.395163E+00  -0.873657E-06   0.503384E-03  -0.873657E-06   0.118138E-06
    76   0.195096E+04  -0.668894E+01   0.496275E-03  -0.668894E+01   0.409361E+00  -0.787546E-06   0.496275E-03  -0.787546E-06   0.117457E-06
    77   0.197376E+04  -0.718849E+01   0.489336E-03  -0.718849E+01   0.423728E+00  -0.711575E-06   0.489336E-03  -0.711575E-06   0.116775E-06
    78   0.199679E+04  -0.769866E+01   0.482544E-03  -0.769866E+01   0.438252E+00  -0.651282E-06   0.482544E-03  -0.651282E-06   0.116094E-06
    79   0.202008E+04  -0.821932E+01   0.475875E-03  -0.821932E+01   0.452923E+00  -0.612203E-06   0.475875E-03  -0.612203E-06   0.115412E-06
    80   0.204368E+04  -0.875047E+01   0.469305E-03  -0.875047E+01   0.467727E+00  -0.599877E-06   0.469305E-03  -0.599877E-06   0.114731E-06
    81   0.206759E+04  -0.929189E+01   0.462815E-03  -0.929189E+01   0.482655E+00  -0.617656E-06   0.462815E-03  -0.617656E-06   0.114050E-06
    82   0.209183E+04  -0.984315E+01   0.456413E-03  -0.984315E+01   0.497696E+00  -0.660147E-06   0.456413E-03  -0.660147E-06   0.113371E-06
    83   0.211638E+04  -0.104040E+02   0.450112E-03  -0.104040E+02   0.512839E+00  -0.719771E-06   0.450112E-03  -0.719771E-06   0.112693E-06
    84   0.214124E+04  -0.109739E+02   0.443925E-03  -0.109739E+02   0.528072E+00  -0.788949E-06   0.443925E-03  -0.788949E-06   0.112018E-06
    85   0.216640E+04  -0.115527E+02   0.437865E-03  -0.115527E+02   0.543386E+00  -0.860103E-06   0.437865E-03  -0.860103E-06   0.111344E-06
