#    L    TT             EE             BB             TE          
    90   0.134284E+03   0.861001E-01   0.657611E-01  -0.257485E+01
    91   0.130422E+03   0.866668E-01   0.656896E-01  -0.255593E+01
    92   0.126614E+03   0.871978E-01   0.655879E-01  -0.253547E+01
    93   0.122862E+03   0.876933E-01   0.654565E-01  -0.251352E+01
    94   0.119165E+03   0.881533E-01   0.652962E-01  -0.249015E+01
    95   0.115524E+03   0.885779E-01   0.651076E-01  -0.246539E+01
    96   0.111941E+03   0.889672E-01   0.648912E-01  -0.243932E+01
    97   0.108416E+03   0.893212E-01   0.646478E-01  -0.241197E+01
    98   0.104949E+03   0.896401E-01   0.643779E-01  -0.238340E+01
    99   0.101542E+03   0.899239E-01   0.640822E-01  -0.235367E+01
   100   0.981944E+02   0.901727E-01   0.637613E-01  -0.232283E+01
   101   0.949080E+02   0.903866E-01   0.634158E-01  -0.229093E+01
   102   0.916832E+02   0.905656E-01   0.630463E-01  -0.225803E+01
   103   0.885206E+02   0.907098E-01   0.626536E-01  -0.222417E+01
   104   0.854210E+02   0.908193E-01   0.622381E-01  -0.218942E+01
   105   0.823851E+02   0.908942E-01   0.618006E-01  -0.215382E+01
   106   0.794136E+02   0.909345E-01   0.613417E-01  -0.211744E+01
   107   0.765073E+02   0.909403E-01   0.608619E-01  -0.208031E+01
   108   0.736668E+02   0.909117E-01   0.603620E-01  -0.204250E+01
   109   0.708930E+02   0.908488E-01   0.598426E-01  -0.200406E+01
   110   0.681864E+02   0.907516E-01   0.593042E-01  -0.196504E+01
   111   0.655477E+02   0.906204E-01   0.587475E-01  -0.192549E+01
   112   0.629764E+02   0.904553E-01   0.581734E-01  -0.188546E+01
   113   0.604721E+02   0.902569E-01   0.575826E-01  -0.184499E+01
   114   0.580340E+02   0.900255E-01   0.569759E-01  -0.180412E+01
   115   0.556618E+02   0.897616E-01   0.563542E-01  -0.176290E+01
   116   0.533547E+02   0.894656E-01   0.557183E-01  -0.172136E+01
   117   0.511123E+02   0.891378E-01   0.550689E-01  -0.167956E+01
   118   0.489339E+02   0.887788E-01   0.544069E-01  -0.163752E+01
   119   0.468190E+02   0.883888E-01   0.537331E-01  -0.159530E+01
   120   0.447671E+02   0.879684E-01   0.530483E-01  -0.155293E+01
   121   0.427775E+02   0.875178E-01   0.523533E-01  -0.151047E+01
   122   0.408497E+02   0.870376E-01   0.516490E-01  -0.146794E+01
   123   0.389831E+02   0.865282E-01   0.509360E-01  -0.142540E+01
   124   0.371771E+02   0.859898E-01   0.502154E-01  -0.138288E+01
   125   0.354313E+02   0.854231E-01   0.494878E-01  -0.134043E+01
   126   0.337449E+02   0.848283E-01   0.487540E-01  -0.129809E+01
   127   0.321176E+02   0.842059E-01   0.480150E-01  -0.125590E+01
   128   0.305486E+02   0.835563E-01   0.472714E-01  -0.121391E+01
   129   0.290374E+02   0.828798E-01   0.465241E-01  -0.117216E+01
   130   0.275834E+02   0.821770E-01   0.457740E-01  -0.113068E+01
   131   0.261861E+02   0.814483E-01   0.450217E-01  -0.108952E+01
   132   0.248443E+02   0.806947E-01   0.442680E-01  -0.104871E+01
   133   0.235570E+02   0.799171E-01   0.435133E-01  -0.100828E+01
   134   0.223231E+02   0.791167E-01   0.427584E-01  -0.968239E+00
   135   0.211416E+02   0.782944E-01   0.420037E-01  -0.928625E+00
   136   0.200112E+02   0.774514E-01   0.412499E-01  -0.889461E+00
   137   0.189309E+02   0.765885E-01   0.404976E-01  -0.850772E+00
   138   0.178997E+02   0.757069E-01   0.397473E-01  -0.812585E+00
   139   0.169164E+02   0.748077E-01   0.389996E-01  -0.774924E+00
   140   0.159799E+02   0.738917E-01   0.382552E-01  -0.737815E+00
   141   0.150892E+02   0.729602E-01   0.375147E-01  -0.701285E+00
   142   0.142431E+02   0.720140E-01   0.367785E-01  -0.665358E+00
   143   0.134405E+02   0.710543E-01   0.360473E-01  -0.630060E+00
   144   0.126804E+02   0.700821E-01   0.353218E-01  -0.595417E+00
   145   0.119617E+02   0.690984E-01   0.346024E-01  -0.561455E+00
   146   0.112833E+02   0.681043E-01   0.338898E-01  -0.528198E+00
   147   0.106440E+02   0.671007E-01   0.331845E-01  -0.495673E+00
   148   0.100428E+02   0.660888E-01   0.324872E-01  -0.463906E+00
   149   0.947859E+01   0.650695E-01   0.317985E-01  -0.432921E+00
   150   0.895028E+01   0.640439E-01   0.311189E-01  -0.402745E+00
   151   0.845679E+01   0.630131E-01   0.304489E-01  -0.373398E+00
   152   0.799708E+01   0.619776E-01   0.297889E-01  -0.344884E+00
   153   0.757013E+01   0.609384E-01   0.291390E-01  -0.317201E+00
   154   0.717494E+01   0.598962E-01   0.284994E-01  -0.290347E+00
   155   0.681049E+01   0.588516E-01   0.278703E-01  -0.264321E+00
   156   0.647575E+01   0.578055E-01   0.272519E-01  -0.239121E+00
   157   0.616972E+01   0.567585E-01   0.266444E-01  -0.214745E+00
   158   0.589137E+01   0.557115E-01   0.260481E-01  -0.191192E+00
   159   0.563970E+01   0.546651E-01   0.254631E-01  -0.168460E+00
   160   0.541367E+01   0.536201E-01   0.248895E-01  -0.146547E+00
   161   0.521228E+01   0.525772E-01   0.243277E-01  -0.125453E+00
   162   0.503451E+01   0.515372E-01   0.237778E-01  -0.105174E+00
   163   0.487935E+01   0.505008E-01   0.232399E-01  -0.857104E-01
   164   0.474577E+01   0.494687E-01   0.227144E-01  -0.670596E-01
   165   0.463276E+01   0.484417E-01   0.222013E-01  -0.492202E-01
   166   0.453930E+01   0.474206E-01   0.217010E-01  -0.321906E-01
   167   0.446439E+01   0.464060E-01   0.212135E-01  -0.159691E-01
   168   0.440699E+01   0.453987E-01   0.207392E-01  -0.554068E-03
   169   0.436610E+01   0.443995E-01   0.202781E-01   0.140561E-01
   170   0.434070E+01   0.434091E-01   0.198305E-01   0.278630E-01
   171   0.432976E+01   0.424281E-01   0.193966E-01   0.408683E-01
   172   0.433229E+01   0.414575E-01   0.189766E-01   0.530736E-01
   173   0.434725E+01   0.404978E-01   0.185706E-01   0.644805E-01
   174   0.437363E+01   0.395499E-01   0.181790E-01   0.750907E-01
   175   0.441042E+01   0.386145E-01   0.178018E-01   0.849057E-01
   176   0.445667E+01   0.376922E-01   0.174392E-01   0.939308E-01
   177   0.451170E+01   0.367837E-01   0.170910E-01   0.102185E+00
   178   0.457493E+01   0.358891E-01   0.167570E-01   0.109689E+00
   179   0.464573E+01   0.350092E-01   0.164369E-01   0.116467E+00
   180   0.472352E+01   0.341441E-01   0.161306E-01   0.122541E+00
   181   0.480769E+01   0.332945E-01   0.158376E-01   0.127932E+00
   182   0.489764E+01   0.324607E-01   0.155579E-01   0.132664E+00
   183   0.499277E+01   0.316431E-01   0.152910E-01   0.136757E+00
   184   0.509248E+01   0.308422E-01   0.150369E-01   0.140235E+00
   185   0.519616E+01   0.300585E-01   0.147952E-01   0.143120E+00
   186   0.530322E+01   0.292923E-01   0.145657E-01   0.145434E+00
   187   0.541304E+01   0.285441E-01   0.143481E-01   0.147199E+00
   188   0.552504E+01   0.278143E-01   0.141423E-01   0.148438E+00
   189   0.563861E+01   0.271033E-01   0.139478E-01   0.149173E+00
   190   0.575315E+01   0.264117E-01   0.137646E-01   0.149425E+00
   191   0.586805E+01   0.257398E-01   0.135924E-01   0.149218E+00
   192   0.598272E+01   0.250880E-01   0.134308E-01   0.148573E+00
   193   0.609655E+01   0.244568E-01   0.132797E-01   0.147513E+00
   194   0.620895E+01   0.238466E-01   0.131388E-01   0.146060E+00
   195   0.631930E+01   0.232579E-01   0.130079E-01   0.144237E+00
   196   0.642701E+01   0.226911E-01   0.128866E-01   0.142065E+00
   197   0.653148E+01   0.221465E-01   0.127749E-01   0.139566E+00
   198   0.663211E+01   0.216248E-01   0.126723E-01   0.136764E+00
   199   0.672829E+01   0.211262E-01   0.125788E-01   0.133680E+00
   200   0.681942E+01   0.206512E-01   0.124939E-01   0.130336E+00
   201   0.690502E+01   0.202002E-01   0.124175E-01   0.126754E+00
   202   0.698506E+01   0.197727E-01   0.123493E-01   0.122944E+00
   203   0.705961E+01   0.193684E-01   0.122891E-01   0.118919E+00
   204   0.712876E+01   0.189867E-01   0.122366E-01   0.114687E+00
   205   0.719260E+01   0.186273E-01   0.121915E-01   0.110261E+00
   206   0.725121E+01   0.182896E-01   0.121536E-01   0.105649E+00
   207   0.730467E+01   0.179732E-01   0.121226E-01   0.100864E+00
   208   0.735306E+01   0.176777E-01   0.120982E-01   0.959148E-01
   209   0.739647E+01   0.174025E-01   0.120803E-01   0.908125E-01
   210   0.743498E+01   0.171472E-01   0.120685E-01   0.855674E-01
   211   0.746868E+01   0.169114E-01   0.120625E-01   0.801902E-01
   212   0.749765E+01   0.166946E-01   0.120622E-01   0.746913E-01
   213   0.752196E+01   0.164964E-01   0.120673E-01   0.690812E-01
   214   0.754172E+01   0.163162E-01   0.120774E-01   0.633704E-01
