#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.266895E+00   0.637258E+06   0.634210E+06  -0.252129E+00   0.316702E+00   0.104127E+05   0.634365E+06   0.636810E+06   0.634365E+06  -0.162760E-01   0.322691E+06   0.322654E+06   0.458334E-01
   0.272136E+00   0.617833E+06   0.614770E+06  -0.197367E+00   0.278216E+00   0.976924E+04   0.615011E+06   0.617383E+06   0.615011E+06  -0.157794E-01   0.312846E+06   0.312810E+06   0.447844E-01
   0.277376E+00   0.599212E+06   0.596141E+06  -0.178003E+00   0.253961E+00   0.917370E+04   0.596459E+06   0.598760E+06   0.596459E+06  -0.153034E-01   0.303409E+06   0.303373E+06   0.436533E-01
   0.282616E+00   0.581827E+06   0.578776E+06  -0.209904E+00   0.247352E+00   0.862898E+04   0.579143E+06   0.581378E+06   0.579143E+06  -0.148592E-01   0.294602E+06   0.294566E+06   0.422527E-01
   0.287856E+00   0.565909E+06   0.562916E+06  -0.220287E+00   0.246390E+00   0.813458E+04   0.563294E+06   0.565469E+06   0.563294E+06  -0.144525E-01   0.286539E+06   0.286504E+06   0.405259E-01
   0.293096E+00   0.551451E+06   0.548552E+06  -0.165139E+00   0.236520E+00   0.768658E+04   0.548904E+06   0.551024E+06   0.548904E+06  -0.140833E-01   0.279220E+06   0.279186E+06   0.385329E-01
   0.298336E+00   0.538241E+06   0.535460E+06  -0.198492E+00   0.214473E+00   0.727858E+04   0.535761E+06   0.537832E+06   0.535761E+06  -0.137461E-01   0.272534E+06   0.272502E+06   0.364108E-01
   0.303576E+00   0.525939E+06   0.523285E+06  -0.183673E+00   0.190056E+00   0.690319E+04   0.523524E+06   0.525548E+06   0.523524E+06  -0.134321E-01   0.266310E+06   0.266278E+06   0.343245E-01
   0.308816E+00   0.514173E+06   0.511638E+06  -0.772922E-01   0.175397E+00   0.655326E+04   0.511820E+06   0.513800E+06   0.511820E+06  -0.131318E-01   0.260356E+06   0.260326E+06   0.324194E-01
   0.314056E+00   0.502626E+06   0.500191E+06  -0.116209E+00   0.173029E+00   0.622318E+04   0.500331E+06   0.502268E+06   0.500331E+06  -0.128371E-01   0.254512E+06   0.254483E+06   0.307891E-01
   0.319296E+00   0.491099E+06   0.488738E+06  -0.187604E+00   0.174266E+00   0.590922E+04   0.488859E+06   0.490751E+06   0.488859E+06  -0.125427E-01   0.248677E+06   0.248648E+06   0.294617E-01
   0.324536E+00   0.479531E+06   0.477220E+06  -0.148146E+00   0.168390E+00   0.560978E+04   0.477343E+06   0.479191E+06   0.477343E+06  -0.122473E-01   0.242819E+06   0.242791E+06   0.284041E-01
   0.329776E+00   0.467990E+06   0.465709E+06  -0.130873E+00   0.152945E+00   0.532473E+04   0.465850E+06   0.467655E+06   0.465850E+06  -0.119524E-01   0.236973E+06   0.236945E+06   0.275411E-01
   0.335016E+00   0.456624E+06   0.454362E+06  -0.129545E+00   0.135300E+00   0.505496E+04   0.454530E+06   0.456291E+06   0.454530E+06  -0.116619E-01   0.231214E+06   0.231188E+06   0.267798E-01
   0.340256E+00   0.445611E+06   0.443368E+06  -0.906443E-01   0.124763E+00   0.480144E+04   0.443562E+06   0.445281E+06   0.443562E+06  -0.113805E-01   0.225635E+06   0.225609E+06   0.260347E-01
   0.345497E+00   0.435106E+06   0.432889E+06  -0.736523E-01   0.123536E+00   0.456485E+04   0.433101E+06   0.434780E+06   0.433101E+06  -0.111121E-01   0.220314E+06   0.220288E+06   0.252456E-01
   0.350737E+00   0.425202E+06   0.423023E+06  -0.914808E-01   0.125249E+00   0.434505E+04   0.423240E+06   0.424882E+06   0.423240E+06  -0.108591E-01   0.215298E+06   0.215273E+06   0.243861E-01
   0.355977E+00   0.415916E+06   0.413786E+06  -0.118971E+00   0.121769E+00   0.414117E+04   0.413996E+06   0.415602E+06   0.413996E+06  -0.106220E-01   0.210596E+06   0.210571E+06   0.234627E-01
   0.361217E+00   0.407189E+06   0.405119E+06  -0.113393E+00   0.111064E+00   0.395166E+04   0.405312E+06   0.406885E+06   0.405312E+06  -0.103992E-01   0.206178E+06   0.206154E+06   0.225066E-01
   0.366457E+00   0.398916E+06   0.396908E+06  -0.751854E-01   0.985912E-01   0.377460E+04   0.397080E+06   0.398621E+06   0.397080E+06  -0.101879E-01   0.201991E+06   0.201967E+06   0.215603E-01
   0.371697E+00   0.390969E+06   0.389022E+06  -0.710979E-01   0.914202E-01   0.360807E+04   0.389172E+06   0.390683E+06   0.389172E+06  -0.998505E-02   0.197968E+06   0.197945E+06   0.206652E-01
   0.376937E+00   0.383232E+06   0.381340E+06  -0.789941E-01   0.912886E-01   0.345040E+04   0.381472E+06   0.382953E+06   0.381472E+06  -0.978749E-02   0.194052E+06   0.194029E+06   0.198513E-01
   0.382177E+00   0.375620E+06   0.373775E+06  -0.642627E-01   0.933267E-01   0.330036E+04   0.373896E+06   0.375349E+06   0.373896E+06  -0.959312E-02   0.190198E+06   0.190176E+06   0.191319E-01
   0.387417E+00   0.368096E+06   0.366288E+06  -0.744207E-01   0.912220E-01   0.315721E+04   0.366407E+06   0.367830E+06   0.366407E+06  -0.940096E-02   0.186388E+06   0.186367E+06   0.185028E-01
   0.392657E+00   0.360666E+06   0.358887E+06  -0.896004E-01   0.833479E-01   0.302065E+04   0.359009E+06   0.360404E+06   0.359009E+06  -0.921115E-02   0.182625E+06   0.182604E+06   0.179466E-01
   0.397897E+00   0.353366E+06   0.351613E+06  -0.676215E-01   0.739387E-01   0.289063E+04   0.351741E+06   0.353108E+06   0.351741E+06  -0.902468E-02   0.178928E+06   0.178907E+06   0.174387E-01
   0.403137E+00   0.346252E+06   0.344522E+06  -0.488566E-01   0.685814E-01   0.276727E+04   0.344658E+06   0.345997E+06   0.344658E+06  -0.884293E-02   0.175325E+06   0.175304E+06   0.169540E-01
   0.408377E+00   0.339375E+06   0.337669E+06  -0.523509E-01   0.687471E-01   0.265060E+04   0.337810E+06   0.339124E+06   0.337810E+06  -0.866725E-02   0.171842E+06   0.171822E+06   0.164728E-01
   0.413617E+00   0.332770E+06   0.331092E+06  -0.557443E-01   0.706790E-01   0.254057E+04   0.331236E+06   0.332524E+06   0.331236E+06  -0.849856E-02   0.168497E+06   0.168477E+06   0.159840E-01
   0.418858E+00   0.326451E+06   0.324804E+06  -0.549577E-01   0.693893E-01   0.243688E+04   0.324945E+06   0.326209E+06   0.324945E+06  -0.833717E-02   0.165297E+06   0.165278E+06   0.154854E-01
   0.424098E+00   0.320405E+06   0.318791E+06  -0.544931E-01   0.635318E-01   0.233914E+04   0.318927E+06   0.320168E+06   0.318927E+06  -0.818277E-02   0.162236E+06   0.162217E+06   0.149828E-01
   0.429338E+00   0.314600E+06   0.313021E+06  -0.556081E-01   0.564133E-01   0.224678E+04   0.313150E+06   0.314368E+06   0.313150E+06  -0.803453E-02   0.159297E+06   0.159278E+06   0.144866E-01
   0.434578E+00   0.308994E+06   0.307450E+06  -0.499357E-01   0.524728E-01   0.215923E+04   0.307570E+06   0.308767E+06   0.307570E+06  -0.789137E-02   0.156459E+06   0.156441E+06   0.140081E-01
   0.439818E+00   0.303544E+06   0.302034E+06  -0.388750E-01   0.529169E-01   0.207597E+04   0.302146E+06   0.303322E+06   0.302146E+06  -0.775222E-02   0.153700E+06   0.153682E+06   0.135566E-01
   0.445058E+00   0.298217E+06   0.296738E+06  -0.409178E-01   0.547645E-01   0.199655E+04   0.296844E+06   0.298000E+06   0.296844E+06  -0.761618E-02   0.151003E+06   0.150985E+06   0.131375E-01
   0.450298E+00   0.292992E+06   0.291540E+06  -0.466115E-01   0.539998E-01   0.192064E+04   0.291643E+06   0.292778E+06   0.291643E+06  -0.748274E-02   0.148357E+06   0.148340E+06   0.127512E-01
   0.455538E+00   0.287862E+06   0.286434E+06  -0.402840E-01   0.495069E-01   0.184804E+04   0.286537E+06   0.287652E+06   0.286537E+06  -0.735172E-02   0.145760E+06   0.145743E+06   0.123943E-01
   0.460778E+00   0.282834E+06   0.281428E+06  -0.370309E-01   0.439357E-01   0.177864E+04   0.281531E+06   0.282627E+06   0.281531E+06  -0.722327E-02   0.143213E+06   0.143196E+06   0.120604E-01
   0.466018E+00   0.277920E+06   0.276534E+06  -0.393230E-01   0.408919E-01   0.171236E+04   0.276638E+06   0.277716E+06   0.276638E+06  -0.709776E-02   0.140724E+06   0.140708E+06   0.117423E-01
   0.471258E+00   0.273135E+06   0.271770E+06  -0.350649E-01   0.413947E-01   0.164916E+04   0.271876E+06   0.272935E+06   0.271876E+06  -0.697556E-02   0.138302E+06   0.138286E+06   0.114337E-01
   0.476498E+00   0.268493E+06   0.267149E+06  -0.310175E-01   0.430538E-01   0.158896E+04   0.267255E+06   0.268296E+06   0.267255E+06  -0.685699E-02   0.135951E+06   0.135935E+06   0.111299E-01
   0.481738E+00   0.263999E+06   0.262676E+06  -0.326103E-01   0.425973E-01   0.153167E+04   0.262781E+06   0.263804E+06   0.262781E+06  -0.674220E-02   0.133675E+06   0.133660E+06   0.108292E-01
   0.486979E+00   0.259650E+06   0.258349E+06  -0.335622E-01   0.390912E-01   0.147712E+04   0.258452E+06   0.259458E+06   0.258452E+06  -0.663113E-02   0.131473E+06   0.131458E+06   0.105318E-01
   0.492219E+00   0.255437E+06   0.254159E+06  -0.314908E-01   0.346847E-01   0.142515E+04   0.254259E+06   0.255249E+06   0.254259E+06  -0.652355E-02   0.129340E+06   0.129325E+06   0.102399E-01
   0.497459E+00   0.251348E+06   0.250092E+06  -0.291156E-01   0.323323E-01   0.137556E+04   0.250188E+06   0.251163E+06   0.250188E+06  -0.641911E-02   0.127269E+06   0.127255E+06   0.995630E-02
   0.502699E+00   0.247366E+06   0.246132E+06  -0.291560E-01   0.328848E-01   0.132817E+04   0.246225E+06   0.247184E+06   0.246225E+06  -0.631742E-02   0.125253E+06   0.125239E+06   0.968366E-02
   0.507939E+00   0.243478E+06   0.242265E+06  -0.283016E-01   0.343874E-01   0.128280E+04   0.242355E+06   0.243300E+06   0.242355E+06  -0.621814E-02   0.123285E+06   0.123271E+06   0.942384E-02
   0.513179E+00   0.239674E+06   0.238481E+06  -0.244412E-01   0.341384E-01   0.123931E+04   0.238569E+06   0.239499E+06   0.238569E+06  -0.612100E-02   0.121359E+06   0.121345E+06   0.917745E-02
   0.518419E+00   0.235949E+06   0.234774E+06  -0.238168E-01   0.313531E-01   0.119760E+04   0.234860E+06   0.235776E+06   0.234860E+06  -0.602585E-02   0.119472E+06   0.119459E+06   0.894392E-02
   0.523659E+00   0.232300E+06   0.231143E+06  -0.255490E-01   0.278031E-01   0.115758E+04   0.231228E+06   0.232130E+06   0.231228E+06  -0.593266E-02   0.117625E+06   0.117611E+06   0.872171E-02
   0.528899E+00   0.228730E+06   0.227590E+06  -0.237667E-01   0.259410E-01   0.111919E+04   0.227674E+06   0.228562E+06   0.227674E+06  -0.584147E-02   0.115817E+06   0.115803E+06   0.850881E-02
   0.534139E+00   0.225241E+06   0.224117E+06  -0.222745E-01   0.264828E-01   0.108238E+04   0.224202E+06   0.225076E+06   0.224202E+06  -0.575237E-02   0.114050E+06   0.114037E+06   0.830319E-02
   0.539379E+00   0.221837E+06   0.220730E+06  -0.229224E-01   0.278127E-01   0.104710E+04   0.220813E+06   0.221674E+06   0.220813E+06  -0.566544E-02   0.112327E+06   0.112314E+06   0.810318E-02
   0.544619E+00   0.218520E+06   0.217428E+06  -0.215605E-01   0.276822E-01   0.101329E+04   0.217511E+06   0.218360E+06   0.217511E+06  -0.558072E-02   0.110647E+06   0.110634E+06   0.790776E-02
   0.549859E+00   0.215289E+06   0.214213E+06  -0.196606E-01   0.254324E-01   0.980887E+03   0.214295E+06   0.215131E+06   0.214295E+06  -0.549819E-02   0.109011E+06   0.108998E+06   0.771656E-02
   0.555099E+00   0.212141E+06   0.211081E+06  -0.196891E-01   0.225418E-01   0.949822E+03   0.211161E+06   0.211985E+06   0.211161E+06  -0.541779E-02   0.107417E+06   0.107404E+06   0.752977E-02
   0.560340E+00   0.209071E+06   0.208027E+06  -0.199695E-01   0.210624E-01   0.920023E+03   0.208105E+06   0.208917E+06   0.208105E+06  -0.533939E-02   0.105863E+06   0.105850E+06   0.734794E-02
   0.565580E+00   0.206074E+06   0.205046E+06  -0.192332E-01   0.215921E-01   0.891409E+03   0.205123E+06   0.205923E+06   0.205123E+06  -0.526286E-02   0.104345E+06   0.104333E+06   0.717171E-02
   0.570820E+00   0.203145E+06   0.202132E+06  -0.178355E-01   0.227733E-01   0.863918E+03   0.202207E+06   0.202996E+06   0.202207E+06  -0.518806E-02   0.102862E+06   0.102850E+06   0.700161E-02
   0.576060E+00   0.200278E+06   0.199280E+06  -0.170413E-01   0.227169E-01   0.837479E+03   0.199354E+06   0.200132E+06   0.199354E+06  -0.511485E-02   0.101411E+06   0.101399E+06   0.683789E-02
   0.581300E+00   0.197471E+06   0.196487E+06  -0.167147E-01   0.208716E-01   0.812041E+03   0.196560E+06   0.197326E+06   0.196560E+06  -0.504316E-02   0.999892E+05   0.999776E+05   0.668048E-02
   0.586540E+00   0.194721E+06   0.193751E+06  -0.157252E-01   0.184889E-01   0.787553E+03   0.193822E+06   0.194578E+06   0.193822E+06  -0.497292E-02   0.985967E+05   0.985853E+05   0.652902E-02
   0.591780E+00   0.192028E+06   0.191070E+06  -0.154846E-01   0.173016E-01   0.763979E+03   0.191141E+06   0.191887E+06   0.191141E+06  -0.490413E-02   0.972327E+05   0.972214E+05   0.638294E-02
   0.597020E+00   0.189390E+06   0.188445E+06  -0.161563E-01   0.178072E-01   0.741283E+03   0.188515E+06   0.189251E+06   0.188515E+06  -0.483676E-02   0.958971E+05   0.958860E+05   0.624161E-02
   0.602260E+00   0.186808E+06   0.185877E+06  -0.154305E-01   0.188491E-01   0.719431E+03   0.185946E+06   0.186671E+06   0.185946E+06  -0.477083E-02   0.945900E+05   0.945790E+05   0.610443E-02
   0.607500E+00   0.184283E+06   0.183364E+06  -0.141833E-01   0.188284E-01   0.698393E+03   0.183432E+06   0.184148E+06   0.183432E+06  -0.470634E-02   0.933113E+05   0.933004E+05   0.597094E-02
   0.612740E+00   0.181814E+06   0.180906E+06  -0.139624E-01   0.172887E-01   0.678134E+03   0.180974E+06   0.181680E+06   0.180974E+06  -0.464327E-02   0.920608E+05   0.920500E+05   0.584085E-02
   0.663949E+00   0.160234E+06   0.159436E+06  -0.106427E-01   0.137669E-01   0.514635E+03   0.159494E+06   0.160117E+06   0.159494E+06  -0.409216E-02   0.811342E+05   0.811248E+05   0.474683E-02
   0.719438E+00   0.141087E+06   0.140384E+06  -0.777118E-02   0.851110E-02   0.389822E+03   0.140435E+06   0.140984E+06   0.140435E+06  -0.360317E-02   0.714392E+05   0.714309E+05   0.385586E-02
   0.779565E+00   0.124125E+06   0.123506E+06  -0.591064E-02   0.716479E-02   0.294768E+03   0.123551E+06   0.124034E+06   0.123551E+06  -0.316996E-02   0.628501E+05   0.628428E+05   0.312975E-02
   0.844716E+00   0.109114E+06   0.108570E+06  -0.440108E-02   0.546356E-02   0.222526E+03   0.108609E+06   0.109034E+06   0.108609E+06  -0.278660E-02   0.552494E+05   0.552430E+05   0.253824E-02
   0.915312E+00   0.958459E+05   0.953682E+05  -0.331974E-02   0.426100E-02   0.167731E+03   0.954024E+05   0.957756E+05   0.954024E+05  -0.244776E-02   0.485312E+05   0.485255E+05   0.205689E-02
   0.991809E+00   0.841295E+05   0.837103E+05  -0.248053E-02   0.320785E-02   0.126243E+03   0.837402E+05   0.840678E+05   0.837402E+05  -0.214854E-02   0.425986E+05   0.425937E+05   0.166555E-02
   0.107470E+01   0.737918E+05   0.734242E+05  -0.184410E-02   0.207201E-02   0.948842E+02   0.734503E+05   0.737377E+05   0.734503E+05  -0.188453E-02   0.373642E+05   0.373598E+05   0.134764E-02
   0.116452E+01   0.646810E+05   0.643588E+05  -0.138140E-02   0.152463E-02   0.712228E+02   0.643816E+05   0.646336E+05   0.643816E+05  -0.165185E-02   0.327509E+05   0.327471E+05   0.108962E-02
   0.126184E+01   0.566577E+05   0.563755E+05  -0.102768E-02   0.139369E-02   0.533957E+02   0.563954E+05   0.566162E+05   0.563954E+05  -0.144695E-02   0.286884E+05   0.286850E+05   0.880382E-03
   0.136730E+01   0.495979E+05   0.493509E+05  -0.766485E-03   0.772475E-03   0.399842E+02   0.493683E+05   0.495616E+05   0.493683E+05  -0.126665E-02   0.251137E+05   0.251108E+05   0.710818E-03
   0.148157E+01   0.433914E+05   0.431753E+05  -0.571573E-03   0.584152E-03   0.299085E+02   0.431905E+05   0.433596E+05   0.431905E+05  -0.110814E-02   0.219710E+05   0.219685E+05   0.573517E-03
   0.160539E+01   0.379392E+05   0.377503E+05  -0.425732E-03   0.442070E-03   0.223490E+02   0.377636E+05   0.379115E+05   0.377636E+05  -0.968906E-03   0.192104E+05   0.192081E+05   0.462421E-03
   0.173955E+01   0.331532E+05   0.329881E+05  -0.316795E-03   0.402934E-03   0.166840E+02   0.329997E+05   0.331289E+05   0.329997E+05  -0.846678E-03   0.167870E+05   0.167850E+05   0.372589E-03
   0.188494E+01   0.289551E+05   0.288110E+05  -0.235575E-03   0.214095E-03   0.124436E+02   0.288210E+05   0.289339E+05   0.288210E+05  -0.739465E-03   0.146613E+05   0.146596E+05   0.300004E-03
   0.204247E+01   0.252753E+05   0.251495E+05  -0.175155E-03   0.257853E-03   0.927309E+01   0.251582E+05   0.252568E+05   0.251582E+05  -0.645488E-03   0.127980E+05   0.127965E+05   0.241393E-03
   0.240238E+01   0.191718E+05   0.190764E+05  -0.789059E-05   0.107974E-03   0.510412E+01   0.190830E+05   0.191578E+05   0.190830E+05  -0.489616E-03   0.970755E+04   0.970643E+04   0.155200E-03
   0.299813E+01   0.131062E+05   0.130410E+05  -0.345538E-05   0.474579E-04   0.224907E+01   0.130455E+05   0.130966E+05   0.130455E+05  -0.334711E-03   0.663628E+04   0.663552E+04   0.845075E-04
   0.374161E+01   0.893017E+04   0.888578E+04  -0.151333E-05   0.157483E-04   0.986522E+00   0.888882E+04   0.892364E+04   0.888882E+04  -0.228062E-03   0.452175E+04   0.452124E+04   0.457122E-04
   0.466945E+01   0.606645E+04   0.603631E+04  -0.660056E-06   0.617691E-05   0.431043E+00   0.603835E+04   0.606201E+04   0.603835E+04  -0.154927E-03   0.307172E+04   0.307138E+04   0.245232E-04
   0.582739E+01   0.410974E+04   0.408935E+04  -0.286664E-06   0.536070E-05   0.187709E+00   0.409071E+04   0.410674E+04   0.409071E+04  -0.104956E-03   0.208095E+04   0.208072E+04   0.130093E-04
   0.727248E+01   0.277713E+04   0.276338E+04  -0.124173E-06   0.191712E-05   0.815034E-01   0.276428E+04   0.277511E+04   0.276428E+04  -0.709235E-04   0.140619E+04   0.140604E+04   0.678924E-05
