#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.181035E-03   0.181288E+08   0.181286E+08   0.204816E+08   0.203923E+08   0.181184E+08   0.181287E+08   0.181288E+08   0.181335E+08  -0.465479E+00   0.920977E+07   0.920973E+07   0.860353E+02
   0.199902E-03   0.181272E+08   0.181271E+08   0.197435E+08   0.196377E+08   0.181142E+08   0.181272E+08   0.181272E+08   0.181318E+08  -0.465431E+00   0.920898E+07   0.920892E+07   0.940906E+02
   0.220737E-03   0.181254E+08   0.181252E+08   0.188768E+08   0.187524E+08   0.181089E+08   0.181253E+08   0.181254E+08   0.181297E+08  -0.465372E+00   0.920801E+07   0.920794E+07   0.102688E+03
   0.243742E-03   0.181231E+08   0.181229E+08   0.178678E+08   0.177227E+08   0.181026E+08   0.181230E+08   0.181231E+08   0.181272E+08  -0.465302E+00   0.920684E+07   0.920676E+07   0.111793E+03
   0.269146E-03   0.181204E+08   0.181201E+08   0.167054E+08   0.165378E+08   0.180948E+08   0.181203E+08   0.181204E+08   0.181242E+08  -0.465217E+00   0.920542E+07   0.920532E+07   0.121341E+03
   0.297197E-03   0.181171E+08   0.181167E+08   0.153837E+08   0.151924E+08   0.180855E+08   0.181169E+08   0.181170E+08   0.181205E+08  -0.465115E+00   0.920370E+07   0.920358E+07   0.131232E+03
   0.328171E-03   0.181131E+08   0.181126E+08   0.139047E+08   0.136899E+08   0.180741E+08   0.181129E+08   0.181130E+08   0.181161E+08  -0.464993E+00   0.920162E+07   0.920148E+07   0.141320E+03
   0.362374E-03   0.181083E+08   0.181077E+08   0.122829E+08   0.120461E+08   0.180603E+08   0.181080E+08   0.181082E+08   0.181109E+08  -0.464847E+00   0.919911E+07   0.919895E+07   0.151407E+03
   0.400141E-03   0.181025E+08   0.181018E+08   0.105488E+08   0.102941E+08   0.180436E+08   0.181021E+08   0.181024E+08   0.181046E+08  -0.464673E+00   0.919609E+07   0.919590E+07   0.161235E+03
   0.441845E-03   0.180955E+08   0.180947E+08   0.875302E+07   0.848737E+07   0.180234E+08   0.180951E+08   0.180954E+08   0.180971E+08  -0.464467E+00   0.919247E+07   0.919224E+07   0.170484E+03
   0.487895E-03   0.180872E+08   0.180862E+08   0.696766E+07   0.670122E+07   0.179991E+08   0.180867E+08   0.180870E+08   0.180883E+08  -0.464225E+00   0.918813E+07   0.918787E+07   0.178778E+03
   0.538744E-03   0.180772E+08   0.180761E+08   0.528371E+07   0.502986E+07   0.179696E+08   0.180766E+08   0.180770E+08   0.180778E+08  -0.463940E+00   0.918295E+07   0.918265E+07   0.185697E+03
   0.594893E-03   0.180653E+08   0.180640E+08   0.380143E+07   0.357566E+07   0.179344E+08   0.180646E+08   0.180652E+08   0.180655E+08  -0.463607E+00   0.917678E+07   0.917644E+07   0.190814E+03
   0.656894E-03   0.180513E+08   0.180498E+08   0.261184E+07   0.242947E+07   0.178920E+08   0.180504E+08   0.180511E+08   0.180510E+08  -0.463219E+00   0.916948E+07   0.916910E+07   0.193730E+03
   0.725357E-03   0.180347E+08   0.180330E+08   0.177013E+07   0.164268E+07   0.178415E+08   0.180337E+08   0.180344E+08   0.180341E+08  -0.462768E+00   0.916087E+07   0.916045E+07   0.194134E+03
   0.800955E-03   0.180152E+08   0.180132E+08   0.126818E+07   0.119912E+07   0.177812E+08   0.180140E+08   0.180149E+08   0.180143E+08  -0.462245E+00   0.915076E+07   0.915030E+07   0.191857E+03
   0.884433E-03   0.179923E+08   0.179901E+08   0.102112E+07   0.100261E+07   0.177095E+08   0.179909E+08   0.179920E+08   0.179911E+08  -0.461640E+00   0.913892E+07   0.913842E+07   0.186909E+03
   0.976610E-03   0.179655E+08   0.179632E+08   0.887784E+06   0.900935E+06   0.176247E+08   0.179639E+08   0.179652E+08   0.179641E+08  -0.460939E+00   0.912512E+07   0.912460E+07   0.179476E+03
   0.107839E-02   0.179344E+08   0.179319E+08   0.734156E+06   0.754891E+06   0.175248E+08   0.179324E+08   0.179340E+08   0.179326E+08  -0.460126E+00   0.910910E+07   0.910855E+07   0.169883E+03
   0.119079E-02   0.178983E+08   0.178956E+08   0.514652E+06   0.523968E+06   0.174077E+08   0.178960E+08   0.178979E+08   0.178961E+08  -0.459185E+00   0.909052E+07   0.908996E+07   0.158525E+03
   0.131489E-02   0.178564E+08   0.178536E+08   0.300781E+06   0.293389E+06   0.172716E+08   0.178538E+08   0.178560E+08   0.178538E+08  -0.458097E+00   0.906906E+07   0.906848E+07   0.145843E+03
   0.145193E-02   0.178082E+08   0.178053E+08   0.194019E+06   0.177670E+06   0.171148E+08   0.178050E+08   0.178077E+08   0.178051E+08  -0.456843E+00   0.904430E+07   0.904372E+07   0.132357E+03
   0.160326E-02   0.177526E+08   0.177497E+08   0.182751E+06   0.168155E+06   0.169356E+08   0.177490E+08   0.177521E+08   0.177490E+08  -0.455401E+00   0.901582E+07   0.901524E+07   0.118718E+03
   0.177035E-02   0.176888E+08   0.176859E+08   0.146523E+06   0.138994E+06   0.167325E+08   0.176846E+08   0.176883E+08   0.176846E+08  -0.453748E+00   0.898315E+07   0.898259E+07   0.105660E+03
