#    L    TT             EE             BB             TE          
    90   0.131550E+05   0.726830E+00   0.683535E-01  -0.878036E+02
    91   0.131476E+05   0.742916E+00   0.683403E-01  -0.887695E+02
    92   0.131392E+05   0.758945E+00   0.682975E-01  -0.897148E+02
    93   0.131299E+05   0.774904E+00   0.682259E-01  -0.906390E+02
    94   0.131195E+05   0.790780E+00   0.681259E-01  -0.915420E+02
    95   0.131082E+05   0.806558E+00   0.679983E-01  -0.924235E+02
    96   0.130960E+05   0.822225E+00   0.678437E-01  -0.932830E+02
    97   0.130828E+05   0.837765E+00   0.676628E-01  -0.941203E+02
    98   0.130686E+05   0.853164E+00   0.674560E-01  -0.949350E+02
    99   0.130535E+05   0.868408E+00   0.672242E-01  -0.957268E+02
   100   0.130375E+05   0.883485E+00   0.669679E-01  -0.964951E+02
   101   0.130206E+05   0.898382E+00   0.666877E-01  -0.972395E+02
   102   0.130028E+05   0.913076E+00   0.663843E-01  -0.979600E+02
   103   0.129841E+05   0.927569E+00   0.660583E-01  -0.986558E+02
   104   0.129645E+05   0.941829E+00   0.657103E-01  -0.993266E+02
   105   0.129440E+05   0.955852E+00   0.653411E-01  -0.999719E+02
   106   0.129225E+05   0.969621E+00   0.649511E-01  -0.100591E+03
   107   0.129002E+05   0.983132E+00   0.645411E-01  -0.101184E+03
   108   0.128770E+05   0.996360E+00   0.641116E-01  -0.101750E+03
   109   0.128530E+05   0.100930E+01   0.636633E-01  -0.102289E+03
   110   0.128280E+05   0.102193E+01   0.631969E-01  -0.102800E+03
   111   0.128022E+05   0.103424E+01   0.627130E-01  -0.103283E+03
   112   0.127755E+05   0.104623E+01   0.622123E-01  -0.103737E+03
   113   0.127479E+05   0.105787E+01   0.616958E-01  -0.104163E+03
   114   0.127195E+05   0.106916E+01   0.611641E-01  -0.104560E+03
   115   0.126902E+05   0.108008E+01   0.606182E-01  -0.104928E+03
   116   0.126601E+05   0.109062E+01   0.600588E-01  -0.105267E+03
   117   0.126291E+05   0.110077E+01   0.594868E-01  -0.105576E+03
   118   0.125973E+05   0.111053E+01   0.589030E-01  -0.105856E+03
   119   0.125647E+05   0.111987E+01   0.583081E-01  -0.106106E+03
   120   0.125312E+05   0.112880E+01   0.577031E-01  -0.106326E+03
   121   0.124969E+05   0.113729E+01   0.570887E-01  -0.106516E+03
   122   0.124618E+05   0.114534E+01   0.564657E-01  -0.106675E+03
   123   0.124258E+05   0.115295E+01   0.558349E-01  -0.106804E+03
   124   0.123890E+05   0.116010E+01   0.551973E-01  -0.106902E+03
   125   0.123514E+05   0.116679E+01   0.545535E-01  -0.106969E+03
   126   0.123130E+05   0.117300E+01   0.539045E-01  -0.107005E+03
   127   0.122738E+05   0.117874E+01   0.532509E-01  -0.107010E+03
   128   0.122338E+05   0.118399E+01   0.525937E-01  -0.106984E+03
   129   0.121930E+05   0.118875E+01   0.519337E-01  -0.106926E+03
   130   0.121513E+05   0.119301E+01   0.512716E-01  -0.106836E+03
   131   0.121089E+05   0.119677E+01   0.506083E-01  -0.106715E+03
   132   0.120657E+05   0.120003E+01   0.499444E-01  -0.106562E+03
   133   0.120217E+05   0.120277E+01   0.492804E-01  -0.106377E+03
   134   0.119769E+05   0.120502E+01   0.486171E-01  -0.106160E+03
   135   0.119314E+05   0.120674E+01   0.479549E-01  -0.105912E+03
   136   0.118852E+05   0.120796E+01   0.472945E-01  -0.105632E+03
   137   0.118383E+05   0.120866E+01   0.466364E-01  -0.105322E+03
   138   0.117906E+05   0.120885E+01   0.459813E-01  -0.104980E+03
   139   0.117422E+05   0.120853E+01   0.453298E-01  -0.104607E+03
   140   0.116932E+05   0.120770E+01   0.446825E-01  -0.104203E+03
   141   0.116435E+05   0.120637E+01   0.440399E-01  -0.103769E+03
   142   0.115931E+05   0.120454E+01   0.434027E-01  -0.103304E+03
   143   0.115421E+05   0.120220E+01   0.427714E-01  -0.102808E+03
   144   0.114905E+05   0.119938E+01   0.421466E-01  -0.102283E+03
   145   0.114382E+05   0.119606E+01   0.415290E-01  -0.101727E+03
   146   0.113853E+05   0.119225E+01   0.409192E-01  -0.101142E+03
   147   0.113318E+05   0.118798E+01   0.403177E-01  -0.100527E+03
   148   0.112777E+05   0.118323E+01   0.397251E-01  -0.998824E+02
   149   0.112230E+05   0.117802E+01   0.391420E-01  -0.992086E+02
   150   0.111677E+05   0.117236E+01   0.385691E-01  -0.985055E+02
   151   0.111118E+05   0.116626E+01   0.380068E-01  -0.977735E+02
   152   0.110553E+05   0.115972E+01   0.374555E-01  -0.970128E+02
   153   0.109983E+05   0.115276E+01   0.369152E-01  -0.962238E+02
   154   0.109408E+05   0.114540E+01   0.363863E-01  -0.954068E+02
   155   0.108827E+05   0.113763E+01   0.358689E-01  -0.945619E+02
   156   0.108241E+05   0.112949E+01   0.353633E-01  -0.936897E+02
   157   0.107649E+05   0.112096E+01   0.348696E-01  -0.927904E+02
   158   0.107054E+05   0.111209E+01   0.343880E-01  -0.918643E+02
   159   0.106453E+05   0.110286E+01   0.339187E-01  -0.909117E+02
   160   0.105847E+05   0.109332E+01   0.334620E-01  -0.899332E+02
   161   0.105237E+05   0.108346E+01   0.330180E-01  -0.889288E+02
   162   0.104623E+05   0.107331E+01   0.325870E-01  -0.878991E+02
   163   0.104003E+05   0.106290E+01   0.321690E-01  -0.868444E+02
   164   0.103380E+05   0.105222E+01   0.317644E-01  -0.857651E+02
   165   0.102752E+05   0.104131E+01   0.313733E-01  -0.846615E+02
   166   0.102120E+05   0.103018E+01   0.309960E-01  -0.835341E+02
   167   0.101483E+05   0.101886E+01   0.306326E-01  -0.823834E+02
   168   0.100843E+05   0.100737E+01   0.302832E-01  -0.812099E+02
   169   0.100198E+05   0.995727E+00   0.299482E-01  -0.800140E+02
   170   0.995502E+04   0.983957E+00   0.296278E-01  -0.787963E+02
   171   0.988983E+04   0.972087E+00   0.293220E-01  -0.775572E+02
   172   0.982429E+04   0.960139E+00   0.290311E-01  -0.762973E+02
   173   0.975839E+04   0.948137E+00   0.287553E-01  -0.750171E+02
   174   0.969216E+04   0.936103E+00   0.284948E-01  -0.737171E+02
   175   0.962560E+04   0.924076E+00   0.282498E-01  -0.723980E+02
   176   0.955873E+04   0.912071E+00   0.280203E-01  -0.710604E+02
   177   0.949155E+04   0.900126E+00   0.278063E-01  -0.697046E+02
   178   0.942407E+04   0.888263E+00   0.276075E-01  -0.683315E+02
   179   0.935633E+04   0.876506E+00   0.274236E-01  -0.669414E+02
   180   0.928831E+04   0.864891E+00   0.272543E-01  -0.655351E+02
   181   0.922005E+04   0.853449E+00   0.270995E-01  -0.641132E+02
   182   0.915155E+04   0.842211E+00   0.269588E-01  -0.626763E+02
   183   0.908283E+04   0.831198E+00   0.268320E-01  -0.612252E+02
   184   0.901390E+04   0.820449E+00   0.267188E-01  -0.597605E+02
   185   0.894477E+04   0.810001E+00   0.266190E-01  -0.582828E+02
   186   0.887546E+04   0.799877E+00   0.265323E-01  -0.567929E+02
   187   0.880599E+04   0.790107E+00   0.264585E-01  -0.552914E+02
   188   0.873637E+04   0.780732E+00   0.263974E-01  -0.537791E+02
   189   0.866660E+04   0.771784E+00   0.263486E-01  -0.522568E+02
   190   0.859671E+04   0.763297E+00   0.263118E-01  -0.507253E+02
   191   0.852671E+04   0.755304E+00   0.262870E-01  -0.491853E+02
   192   0.845661E+04   0.747839E+00   0.262737E-01  -0.476375E+02
   193   0.838642E+04   0.740937E+00   0.262717E-01  -0.460827E+02
   194   0.831617E+04   0.734633E+00   0.262808E-01  -0.445219E+02
   195   0.824587E+04   0.728964E+00   0.263007E-01  -0.429559E+02
   196   0.817553E+04   0.723966E+00   0.263311E-01  -0.413855E+02
   197   0.810519E+04   0.719675E+00   0.263719E-01  -0.398117E+02
   198   0.803485E+04   0.716128E+00   0.264227E-01  -0.382353E+02
   199   0.796453E+04   0.713361E+00   0.264832E-01  -0.366571E+02
   200   0.789425E+04   0.711410E+00   0.265533E-01  -0.350783E+02
   201   0.782401E+04   0.710313E+00   0.266326E-01  -0.334994E+02
   202   0.775383E+04   0.710104E+00   0.267210E-01  -0.319213E+02
   203   0.768370E+04   0.710821E+00   0.268180E-01  -0.303441E+02
   204   0.761362E+04   0.712499E+00   0.269235E-01  -0.287685E+02
   205   0.754358E+04   0.715174E+00   0.270371E-01  -0.271950E+02
   206   0.747360E+04   0.718881E+00   0.271586E-01  -0.256240E+02
