#    L    TT             EE             BB             TE          
    90   0.131564E+05   0.724642E+00   0.657606E-01  -0.878534E+02
    91   0.131491E+05   0.740690E+00   0.656891E-01  -0.888214E+02
    92   0.131408E+05   0.756683E+00   0.655874E-01  -0.897687E+02
    93   0.131316E+05   0.772604E+00   0.654561E-01  -0.906951E+02
    94   0.131213E+05   0.788443E+00   0.652958E-01  -0.916004E+02
    95   0.131101E+05   0.804183E+00   0.651072E-01  -0.924841E+02
    96   0.130980E+05   0.819812E+00   0.648908E-01  -0.933459E+02
    97   0.130849E+05   0.835314E+00   0.646474E-01  -0.941855E+02
    98   0.130708E+05   0.850675E+00   0.643775E-01  -0.950026E+02
    99   0.130559E+05   0.865881E+00   0.640818E-01  -0.957967E+02
   100   0.130400E+05   0.880920E+00   0.637609E-01  -0.965674E+02
   101   0.130232E+05   0.895778E+00   0.634154E-01  -0.973144E+02
   102   0.130055E+05   0.910433E+00   0.630460E-01  -0.980374E+02
   103   0.129869E+05   0.924886E+00   0.626533E-01  -0.987356E+02
   104   0.129674E+05   0.939107E+00   0.622378E-01  -0.994090E+02
   105   0.129470E+05   0.953089E+00   0.618004E-01  -0.100057E+03
   106   0.129258E+05   0.966818E+00   0.613414E-01  -0.100679E+03
   107   0.129036E+05   0.980286E+00   0.608617E-01  -0.101274E+03
   108   0.128805E+05   0.993473E+00   0.603618E-01  -0.101843E+03
   109   0.128566E+05   0.100637E+01   0.598424E-01  -0.102385E+03
   110   0.128318E+05   0.101896E+01   0.593040E-01  -0.102898E+03
   111   0.128061E+05   0.103123E+01   0.587474E-01  -0.103384E+03
   112   0.127795E+05   0.104317E+01   0.581732E-01  -0.103841E+03
   113   0.127521E+05   0.105476E+01   0.575824E-01  -0.104270E+03
   114   0.127238E+05   0.106600E+01   0.569758E-01  -0.104669E+03
   115   0.126947E+05   0.107687E+01   0.563541E-01  -0.105040E+03
   116   0.126647E+05   0.108737E+01   0.557182E-01  -0.105382E+03
   117   0.126339E+05   0.109747E+01   0.550688E-01  -0.105694E+03
   118   0.126022E+05   0.110717E+01   0.544068E-01  -0.105976E+03
   119   0.125697E+05   0.111646E+01   0.537330E-01  -0.106229E+03
   120   0.125363E+05   0.112534E+01   0.530483E-01  -0.106452E+03
   121   0.125022E+05   0.113377E+01   0.523533E-01  -0.106644E+03
   122   0.124671E+05   0.114177E+01   0.516490E-01  -0.106807E+03
   123   0.124313E+05   0.114932E+01   0.509360E-01  -0.106938E+03
   124   0.123947E+05   0.115641E+01   0.502154E-01  -0.107039E+03
   125   0.123572E+05   0.116303E+01   0.494878E-01  -0.107109E+03
   126   0.123189E+05   0.116918E+01   0.487541E-01  -0.107148E+03
   127   0.122798E+05   0.117485E+01   0.480150E-01  -0.107156E+03
   128   0.122399E+05   0.118003E+01   0.472715E-01  -0.107132E+03
   129   0.121992E+05   0.118472E+01   0.465242E-01  -0.107077E+03
   130   0.121577E+05   0.118891E+01   0.457741E-01  -0.106990E+03
   131   0.121153E+05   0.119259E+01   0.450218E-01  -0.106871E+03
   132   0.120722E+05   0.119577E+01   0.442681E-01  -0.106720E+03
   133   0.120283E+05   0.119843E+01   0.435134E-01  -0.106538E+03
   134   0.119837E+05   0.120059E+01   0.427585E-01  -0.106323E+03
   135   0.119383E+05   0.120223E+01   0.420038E-01  -0.106078E+03
   136   0.118921E+05   0.120336E+01   0.412500E-01  -0.105801E+03
   137   0.118453E+05   0.120396E+01   0.404977E-01  -0.105492E+03
   138   0.117977E+05   0.120406E+01   0.397475E-01  -0.105153E+03
   139   0.117494E+05   0.120364E+01   0.389998E-01  -0.104782E+03
   140   0.117004E+05   0.120270E+01   0.382554E-01  -0.104380E+03
   141   0.116508E+05   0.120127E+01   0.375149E-01  -0.103948E+03
   142   0.116005E+05   0.119932E+01   0.367787E-01  -0.103485E+03
   143   0.115496E+05   0.119687E+01   0.360475E-01  -0.102992E+03
   144   0.114980E+05   0.119393E+01   0.353220E-01  -0.102468E+03
   145   0.114458E+05   0.119048E+01   0.346026E-01  -0.101914E+03
   146   0.113930E+05   0.118655E+01   0.338900E-01  -0.101331E+03
   147   0.113395E+05   0.118215E+01   0.331848E-01  -0.100717E+03
   148   0.112855E+05   0.117726E+01   0.324875E-01  -0.100074E+03
   149   0.112308E+05   0.117192E+01   0.317987E-01  -0.994019E+02
   150   0.111756E+05   0.116611E+01   0.311191E-01  -0.987001E+02
   151   0.111197E+05   0.115986E+01   0.304492E-01  -0.979693E+02
   152   0.110633E+05   0.115316E+01   0.297891E-01  -0.972097E+02
   153   0.110064E+05   0.114604E+01   0.291392E-01  -0.964217E+02
   154   0.109489E+05   0.113852E+01   0.284996E-01  -0.956055E+02
   155   0.108908E+05   0.113058E+01   0.278705E-01  -0.947614E+02
   156   0.108323E+05   0.112226E+01   0.272522E-01  -0.938898E+02
   157   0.107732E+05   0.111355E+01   0.266447E-01  -0.929910E+02
   158   0.107136E+05   0.110449E+01   0.260484E-01  -0.920652E+02
   159   0.106536E+05   0.109507E+01   0.254633E-01  -0.911129E+02
   160   0.105931E+05   0.108533E+01   0.248898E-01  -0.901344E+02
   161   0.105321E+05   0.107527E+01   0.243280E-01  -0.891300E+02
   162   0.104707E+05   0.106491E+01   0.237780E-01  -0.881001E+02
   163   0.104088E+05   0.105428E+01   0.232402E-01  -0.870450E+02
   164   0.103465E+05   0.104338E+01   0.227147E-01  -0.859653E+02
   165   0.102837E+05   0.103224E+01   0.222016E-01  -0.848610E+02
   166   0.102206E+05   0.102088E+01   0.217013E-01  -0.837329E+02
   167   0.101569E+05   0.100931E+01   0.212138E-01  -0.825811E+02
   168   0.100929E+05   0.997575E+00   0.207395E-01  -0.814065E+02
   169   0.100285E+05   0.985683E+00   0.202784E-01  -0.802094E+02
   170   0.996374E+04   0.973653E+00   0.198308E-01  -0.789902E+02
   171   0.989858E+04   0.961516E+00   0.193969E-01  -0.777495E+02
   172   0.983306E+04   0.949295E+00   0.189769E-01  -0.764878E+02
   173   0.976719E+04   0.937013E+00   0.185709E-01  -0.752056E+02
   174   0.970098E+04   0.924693E+00   0.181792E-01  -0.739035E+02
   175   0.963444E+04   0.912372E+00   0.178020E-01  -0.725821E+02
   176   0.956758E+04   0.900067E+00   0.174395E-01  -0.712420E+02
   177   0.950041E+04   0.887816E+00   0.170913E-01  -0.698836E+02
   178   0.943295E+04   0.875640E+00   0.167573E-01  -0.685076E+02
   179   0.936520E+04   0.863562E+00   0.164372E-01  -0.671145E+02
   180   0.929719E+04   0.851621E+00   0.161308E-01  -0.657049E+02
   181   0.922892E+04   0.839846E+00   0.158379E-01  -0.642797E+02
   182   0.916042E+04   0.828267E+00   0.155581E-01  -0.628392E+02
   183   0.909169E+04   0.816908E+00   0.152913E-01  -0.613843E+02
   184   0.902274E+04   0.805806E+00   0.150372E-01  -0.599157E+02
   185   0.895359E+04   0.794998E+00   0.147955E-01  -0.584338E+02
   186   0.888426E+04   0.784507E+00   0.145660E-01  -0.569395E+02
   187   0.881475E+04   0.774365E+00   0.143484E-01  -0.554335E+02
   188   0.874509E+04   0.764611E+00   0.141425E-01  -0.539166E+02
   189   0.867528E+04   0.755277E+00   0.139481E-01  -0.523893E+02
   190   0.860534E+04   0.746399E+00   0.137649E-01  -0.508527E+02
   191   0.853529E+04   0.738008E+00   0.135926E-01  -0.493074E+02
   192   0.846513E+04   0.730140E+00   0.134311E-01  -0.477541E+02
   193   0.839487E+04   0.722828E+00   0.132800E-01  -0.461937E+02
   194   0.832455E+04   0.716109E+00   0.131391E-01  -0.446270E+02
   195   0.825417E+04   0.710019E+00   0.130081E-01  -0.430549E+02
   196   0.818375E+04   0.704595E+00   0.128869E-01  -0.414782E+02
   197   0.811331E+04   0.699872E+00   0.127752E-01  -0.398979E+02
   198   0.804288E+04   0.695889E+00   0.126726E-01  -0.383149E+02
   199   0.797245E+04   0.692681E+00   0.125790E-01  -0.367299E+02
   200   0.790206E+04   0.690283E+00   0.124942E-01  -0.351440E+02
   201   0.783171E+04   0.688735E+00   0.124178E-01  -0.335580E+02
   202   0.776140E+04   0.688071E+00   0.123496E-01  -0.319724E+02
